Unidade de Despesa;Grupo Orçamentário;Fonte de Recurso;Subfunção;Programa;Ação;Elemento;Dotação Inicial (R$);Dotação Atual (R$);Empenhado (R$);Liquidado (R$);Pago (R$);Pago Restos (R$)
73 - Centro de Tecnologia da Informação de São Carlos;0 - Básica;4 - Receita;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339014 - Diárias Pessoal Civil;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Outros Materiais de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Material Médico-Odontol.,Labor. e Veterin;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339030 - Mat.de Escritório,Papéis em Geral e Impressos;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Exames Laboratoriais;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Outros Serviços e Encargos- Pessoa Jurídica;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Assistência Médico-Hospitalar e Odontológica;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;339039 - Conservação e Manut. de Bens Móveis e Imóveis;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;449052 - Equipamentos para Informática;0,00;0,00;0,00;0,00;0,00;0,00
60 - Faculdade de Ciências Farmacêuticas de Ribeirão Preto;0 - Básica;1 - Tesouro;302 - Assistência Hospitalar e Ambulatorial;1042 - Assistência Médica, Hospitalar e Ambulatorial em Hospitais Universitários;5274 - Assistência Médica, Hospitalar e Ambulatorial;449052 - Outros Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
